symbol,exchange,segment,last_price,open,day_high,day_low,previous_close,day_change,day_change_perc,volume,market_cap,average_price,week_52_high,week_52_low,upper_circuit_limit,lower_circuit_limit,error
INDUSINDBK,,,,,,,,,,,,,,,,,"Groww candle request for INDUSINDBK failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
GRASIM,,,,,,,,,,,,,,,,,"Groww candle request for GRASIM failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
CIPLA,,,,,,,,,,,,,,,,,"Groww candle request for CIPLA failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
DRREDDY,,,,,,,,,,,,,,,,,"Groww candle request for DRREDDY failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
EICHERMOT,,,,,,,,,,,,,,,,,"Groww candle request for EICHERMOT failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
BRITANNIA,,,,,,,,,,,,,,,,,"Groww candle request for BRITANNIA failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
HEROMOTOCO,,,,,,,,,,,,,,,,,"Groww candle request for HEROMOTOCO failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
DIVISLAB,,,,,,,,,,,,,,,,,"Groww candle request for DIVISLAB failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
COALINDIA,,,,,,,,,,,,,,,,,"Groww candle request for COALINDIA failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
BPCL,,,,,,,,,,,,,,,,,"Groww candle request for BPCL failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
HINDALCO,,,,,,,,,,,,,,,,,"Groww candle request for HINDALCO failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
SBILIFE,,,,,,,,,,,,,,,,,"Groww candle request for SBILIFE failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
HDFCLIFE,,,,,,,,,,,,,,,,,"Groww candle request for HDFCLIFE failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
SHREECEM,,,,,,,,,,,,,,,,,"Groww candle request for SHREECEM failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
UPL,,,,,,,,,,,,,,,,,"Groww candle request for UPL failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
APOLLOHOSP,,,,,,,,,,,,,,,,,"Groww candle request for APOLLOHOSP failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
BAJAJ-AUTO,,,,,,,,,,,,,,,,,"Groww candle request for BAJAJ-AUTO failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
TATACONSUM,,,,,,,,,,,,,,,,,"Groww candle request for TATACONSUM failed with status 403: {""status"":""FAILURE"",""error"":{""code"":""403"",""message"":""Access forbidden for this request."",""metadata"":null}}"
